gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1584378206	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18603	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	WOONGARRA:OAKS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.7705	152.4182					0.0	0.0	1998-01-01T00:00:00Z			1998	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18603				CC_BY_4_0					2019-09-20T20:33:16.242Z		COORDINATE_PRECISION_INVALID
1584378205	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18608	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	WOONGARRA:RIFLERANGE CK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.8483	152.4683					0.0	0.0	1997-01-01T00:00:00Z			1997	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18608				CC_BY_4_0					2019-09-20T23:00:42.057Z		COORDINATE_PRECISION_INVALID
1584378204	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18580	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	WOONGARRA:NEILSON PK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.806	152.4548					0.0	0.0	1975-01-01T00:00:00Z			1975	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18580				CC_BY_4_0					2019-09-20T23:00:39.852Z		COORDINATE_PRECISION_INVALID
1584378203	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18612	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	ZUNA ISLAND		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-10.7191	142.293					0.0	0.0	1999-01-01T00:00:00Z			1999	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18612				CC_BY_4_0					2019-09-20T20:33:13.428Z		COORDINATE_PRECISION_INVALID
1584378202	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18606	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta		AU	WOONGARRA:RIFLERANGE CK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.8483	152.4683					0.0	0.0	1998-01-01T00:00:00Z			1998	8894817	8894817	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18606				CC_BY_4_0					2019-09-20T16:48:16.962Z		COORDINATE_PRECISION_INVALID
1584378201	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18586	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	WOONGARRA:NEILSON PK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.806	152.4548					0.0	0.0	1968-01-01T00:00:00Z			1968	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18586				CC_BY_4_0					2019-09-20T20:33:19.431Z		COORDINATE_PRECISION_INVALID
1584378200	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18611	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	ZUNA ISLAND		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-10.7191	142.293					0.0	0.0	1999-01-01T00:00:00Z			1999	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18611				CC_BY_4_0					2019-09-20T23:00:41.730Z		COORDINATE_PRECISION_INVALID
1584378199	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18566	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta		AU	WOONGARRA:NEILSON PK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.806	152.4548					0.0	0.0	1974-01-01T00:00:00Z			1974	8894817	8894817	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18566				CC_BY_4_0					2019-09-20T16:48:15.899Z		COORDINATE_PRECISION_INVALID
1584378198	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18585	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	WOONGARRA:NEILSON PK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.806	152.4548					0.0	0.0	1980-01-01T00:00:00Z			1980	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18585				CC_BY_4_0					2019-09-20T23:00:39.181Z		COORDINATE_PRECISION_INVALID
1584378197	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.18592	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	WOONGARRA:NEILSON PK		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-24.806	152.4548					0.0	0.0	1974-01-01T00:00:00Z			1974	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	18592				CC_BY_4_0					2019-09-20T20:33:15.944Z		COORDINATE_PRECISION_INVALID
