,ID,scientific name,date,coordinates
1668,1584376538,Lepidochelys olivacea,1999-01-01T00:00:00Z,"143.4102,-12.7821"
1669,1584376537,Chelonia mydas,1976-01-01T00:00:00Z,"152.4167,-21.7167"
1670,1584376536,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4243,-20.9107"
1671,1584376535,Natator depressus,2000-01-01T00:00:00Z,"149.4348,-20.9324"
1672,1584376534,Natator depressus,1998-01-01T00:00:00Z,"152.4167,-21.8"
1673,1584376533,Natator depressus,2000-01-01T00:00:00Z,"149.5587,-22.1651"
1674,1584376532,Eretmochelys imbricata,1998-01-01T00:00:00Z,"153.15,-26.8"
1675,1584376531,Natator depressus,1998-01-01T00:00:00Z,"152.2333,-21.8167"
1676,1584376530,Lepidochelys olivacea,1998-01-01T00:00:00Z,"152.4167,-21.8"
1677,1584376529,Natator depressus,2000-01-01T00:00:00Z,"149.4265,-20.9162"
1678,1584376528,Chelonia mydas,1998-01-01T00:00:00Z,"152.4167,-21.8"
1679,1584376527,Eretmochelys imbricata,2001-01-01T00:00:00Z,"148.8378,-20.8268"
1680,1584376526,Eretmochelys imbricata,1998-01-01T00:00:00Z,"152.2333,-21.8167"
1681,1584376525,Natator depressus,2001-01-01T00:00:00Z,"150.1465,-21.5217"
1682,1584376524,Eretmochelys imbricata,1998-01-01T00:00:00Z,"152.4167,-21.8"
1683,1584376523,Caretta caretta,1998-01-01T00:00:00Z,"153.15,-26.8"
1684,1584376522,Eretmochelys imbricata,2001-01-01T00:00:00Z,"149.4348,-20.9324"
1685,1584376521,Natator depressus,1999-01-01T00:00:00Z,"141.5462,-15.3585"
1686,1584376520,Caretta caretta,1998-01-01T00:00:00Z,"153.14,-26.7883"
1687,1584376519,Lepidochelys olivacea,1999-01-01T00:00:00Z,"140.4541,-17.6516"
1688,1584376518,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.0771,-20.5548"
1689,1584376517,Eretmochelys imbricata,1998-01-01T00:00:00Z,"152.45,-21.7833"
