latitude,longitude
-22.0045,149.8512
-24.8133,152.4632
-22.002,149.8482
-12.6799,143.4013
-24.8154,152.4624
-24.8154,152.4624
-20.7451,149.4725
-24.8154,152.4624
-22.0054,149.843
-22.002,149.8482
-21.9956,149.8805
-21.9956,149.8805
-21.9927,149.878
-17.54,139.6467
-24.8154,152.4624
-20.7451,149.4725
-24.8154,152.4624
-24.8133,152.4632
-20.7451,149.4725
-22.0045,149.8512
-20.9783,149.0794
-22.002,149.851
-20.7423,149.4708
-20.9783,149.0794
-20.7356,149.4655
-22.0045,149.8512
-20.7483,149.4734
-22.002,149.8482
-22.002,149.851
-21.9927,149.878
-20.7468,149.4731
-22.0052,149.8659
-20.9783,149.0794
-20.15,148.95
-20.7356,149.4655
-22.0054,149.843
-22.0045,149.8512
-22.0052,149.8659
-24.8154,152.4624
-20.7312,149.4657
-21.9956,149.8805
-20.2566,149.0254
-22.0045,149.8512
-22.0054,149.843
-21.9927,149.878
-22.2032,150.2545
-21.8309,149.49
-20.7288,149.4662
-20.15,148.95
-20.7468,149.4731
-20.45,149.05
-22.1493,149.849
-20.7483,149.4734
-20.7451,149.4725
-20.7312,149.4657
-20.2566,149.0254
-22.0,149.8667
-21.9927,149.878
-20.7312,149.4657
-16.6981,139.4362
-20.7288,149.4662
-16.748,139.2872
-22.0045,149.8512
-17.1347,139.5958
-22.0,149.8667
-20.15,148.95
-22.0052,149.8659
-20.7356,149.4655
-20.7312,149.4657
-20.15,148.95
-16.748,139.2872
-20.7423,149.4708
-22.1493,149.849
-20.45,149.05
-17.134,139.5959
-16.6695,139.4652
-16.6695,139.4652
-21.8309,149.49
-20.2566,149.0254
-17.134,139.5959
-16.6981,139.4362
-20.7312,149.4657
-20.45,149.05
-10.3518,142.0621
-16.2724,139.2741
-16.7453,139.1622
-16.5891,139.469
-20.7356,149.4655
-10.3518,142.0621
-22.2032,150.2545
-22.0,149.8667
-20.7423,149.4708
-16.2724,139.2741
-17.0987,139.6181
-16.2756,139.2734
-17.1347,139.5958
-21.8333,149.49
-16.6695,139.4652
-16.7453,139.1622
-17.0987,139.6181
-16.2756,139.2734
-17.0636,139.6257
-16.2756,139.2734
-16.607,139.4725
-16.7376,139.3234
-21.8309,149.49
-16.6909,139.4784
-16.4917,139.8083
-17.1347,139.5958
-17.1347,139.5958
-16.4917,139.8083
-10.3518,142.0621
-16.6306,139.4633
-21.8309,149.49
-16.607,139.4725
-17.0636,139.6257
-17.0987,139.6181
-17.1415,139.6136
-16.6121,139.4729
-20.7423,149.4708
-16.7364,139.2873
-16.6076,139.4731
-16.4917,139.8083
-17.1415,139.6136
-16.6895,139.48
-16.6915,139.4825
-16.6583,139.381
-16.5349,139.6289
-16.6314,139.4796
-16.6883,139.4815
-16.6365,139.4493
-17.0987,139.6181
-16.5349,139.6289
-16.5891,139.469
-16.7364,139.2873
-16.6121,139.4729
-17.0987,139.6181
-16.2724,139.2741
-16.6689,139.4519
-16.6909,139.4784
-16.6673,139.4546
-16.6915,139.4825
-16.6703,139.458
-16.6306,139.4633
-21.8333,149.49
-16.7376,139.3234
-16.7054,139.4652
-16.6689,139.4519
-16.6268,139.4723
-16.6913,139.3489
-16.5783,139.5052
-16.5335,139.7111
-16.7507,139.1609
-16.6268,139.4723
-16.3931,139.5487
-16.7054,139.4652
-16.6365,139.4493
-16.6895,139.48
-16.6703,139.458
-16.7323,139.311
-16.4422,139.7712
-16.5294,139.5787
-16.6314,139.4796
-16.452,139.717
-16.452,139.717
-16.6583,139.381
-16.5783,139.5052
-16.6076,139.4731
-16.7089,139.8415
-16.7323,139.311
-16.6913,139.3489
-16.5561,139.5941
-17.0987,139.6181
-16.705,139.8247
-16.2331,139.252
-16.2331,139.252
-20.9248,149.0595
-16.67,139.4472
-16.5349,139.6289
-16.6667,139.85
-16.5369,139.6874
-16.6667,139.85
-16.2331,139.252
-16.5335,139.7111
-16.5561,139.5941
-16.6673,139.4546
-16.7089,139.8415
-16.3931,139.5487
-22.94,150.77
-16.7215,139.3864
-21.5117,149.7167
-21.5117,149.7167
-16.5369,139.6874
-16.67,139.4472
-16.5481,139.5139
-22.94,150.77
-16.6883,139.4815
-16.705,139.8247
-16.5481,139.5139
-16.2331,139.252
-21.6024,149.77100000000002
-16.9867,139.5064
-17.0356,139.5555
-16.705,139.8247
-16.4422,139.7712
-16.452,139.717
-21.3329,149.3199
-16.7507,139.1609
-16.9771,139.4971
-15.5008,141.4812
-21.3295,149.317
-16.7215,139.3864
-16.6833,139.85
-16.9817,139.4916
-21.4713,150.3067
-16.5294,139.5787
-16.7109,139.8406
-16.6833,139.85
-16.7622,139.1421
-15.6594,141.435
-16.9817,139.4916
-15.7836,141.4193
-16.7109,139.8406
-16.6667,139.85
-21.4692,150.3082
-17.0356,139.5555
-15.7836,141.4193
-16.0003,141.4028
-21.3256,149.3207
-16.6517,138.115
-16.9867,139.5064
-21.3295,149.317
-22.94,150.77
-20.9248,149.0595
-21.3329,149.3199
-17.2027,139.1708
-16.9771,139.4971
-21.6024,149.77100000000002
-11.155,142.7969
-16.3931,139.5487
-16.7767,138.4283
-16.7622,139.1421
-16.8932,139.002
-16.9303,139.0365
-21.4692,150.3082
-22.94,150.77
-12.870999999999999,143.532
-17.6525,140.455
-21.474,150.3077
-16.5717,138.0233
